event_num,event,date,venue,attendance,city,state,country,weight_class,winner,loser,method,round,time,fight_card,event_name,link
298,Bellator 293,2023-03-31,Pechanga Resort and Casino,,Temecula, California, US,Women's Featherweight,Cat Zingano,Leah McCourt,"Decision (unanimous) (29–28, 30–27, 29–28)",3.0,300.0,Main card,Bellator 293,https://en.wikipedia.org//wiki/Bellator_293
298,Bellator 293,2023-03-31,Pechanga Resort and Casino,,Temecula, California, US,Lightweight,Archie Colgan,Justin Montalvo,TKO (punches),1.0,213.0,Main card,Bellator 293,https://en.wikipedia.org//wiki/Bellator_293
298,Bellator 293,2023-03-31,Pechanga Resort and Casino,,Temecula, California, US,Featherweight,Lucas Brennan,Josh San Diego,Submission (rear-naked choke),1.0,134.0,Preliminary card (Youtube/Pluto TV),Bellator 293,https://en.wikipedia.org//wiki/Bellator_293
298,Bellator 293,2023-03-31,Pechanga Resort and Casino,,Temecula, California, US,Lightweight,Mike Hamel,Nick Browne,TKO (head kick and punches),1.0,42.0,Preliminary card (Youtube/Pluto TV),Bellator 293,https://en.wikipedia.org//wiki/Bellator_293
298,Bellator 293,2023-03-31,Pechanga Resort and Casino,,Temecula, California, US,Middleweight,John Salter,Aaron Jeffrey,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,300.0,Main card,Bellator 293,https://en.wikipedia.org//wiki/Bellator_293
298,Bellator 293,2023-03-31,Pechanga Resort and Casino,,Temecula, California, US,Lightweight,Vladimir Tokov,Lance Gibson Jr.,KO (punches),1.0,62.0,Preliminary card (Youtube/Pluto TV),Bellator 293,https://en.wikipedia.org//wiki/Bellator_293
298,Bellator 293,2023-03-31,Pechanga Resort and Casino,,Temecula, California, US,Heavyweight,Daniel James,Marcelo Golm,TKO (punches),3.0,26.0,Main card,Bellator 293,https://en.wikipedia.org//wiki/Bellator_293
298,Bellator 293,2023-03-31,Pechanga Resort and Casino,,Temecula, California, US,Heavyweight,Rakim Cleveland,Christian Edwards,Submission (guillotine choke),3.0,235.0,Preliminary card (Youtube/Pluto TV),Bellator 293,https://en.wikipedia.org//wiki/Bellator_293
298,Bellator 293,2023-03-31,Pechanga Resort and Casino,,Temecula, California, US,Women's Catchweight (120 lb),Randi Field,Ashley Cummins,"Decision (unanimous) (30–27, 29–28, 29–28)",3.0,300.0,Preliminary card (Youtube/Pluto TV),Bellator 293,https://en.wikipedia.org//wiki/Bellator_293
298,Bellator 293,2023-03-31,Pechanga Resort and Casino,,Temecula, California, US,Lightweight,Adam Piccolotti,Mandel Nallo,Submission (rear-naked choke),3.0,266.0,Preliminary card (Youtube/Pluto TV),Bellator 293,https://en.wikipedia.org//wiki/Bellator_293
