#,event,date,venue,attendance,city,state,country
79,Bellator 79,2012-11-02,Casino Rama,,Rama, Ontario, Canada
78,Bellator 78,2012-10-26,Nutter Center,,Dayton, Ohio, US
77,Bellator 77,2012-10-19,Reading Eagle Theater,,Reading, Pennsylvania, US
76,Bellator 76,2012-10-12,Caesars Windsor,,Windsor, Ontario, Canada
75,Bellator 75,2012-10-05,Horseshoe Casino,,Hammond, Indiana, US
74,Bellator 74,2012-09-28,Caesars Atlantic City,,Atlantic City, New Jersey, US
73,Bellator 73,2012-08-24,Harrah's Tunica Hotel and Casino,,Tunica, Mississippi, US
72,Bellator 72,2012-07-20,USF Sun Dome,,Tampa, Florida, US
71,Bellator 71,2012-06-22,"Mountaineer Casino, Racetrack and Resort",,Chester, West Virginia, US
70,Bellator 70,2012-05-25,New Orleans Convention Center,,New Orleans, Louisiana, US
69,Bellator 69,2012-05-18,L'Auberge du Lac Resort,,Lake Charles, Louisiana, US
68,Bellator 68,2012-05-11,Caesars Atlantic City,,Atlantic City, New Jersey, US
67,Bellator 67,2012-05-04,Casino Rama,,Rama, Ontario, Canada
66,Bellator 66,2012-04-20,I-X Center,,Cleveland, Ohio, US
65,Bellator 65,2012-04-13,Boardwalk Hall,,Atlantic City, New Jersey, US
64,Bellator 64,2012-04-06,Caesars Windsor,,Windsor, Ontario, Canada
63,Bellator 63,2012-03-30,Mohegan Sun Arena,,Uncasville, Connecticut, US
62,Bellator 62,2012-03-23,Laredo Energy Arena,,Laredo, Texas, US
61,Bellator 61,2012-03-16,Horseshoe Riverdome,,Bossier City, Louisiana, US
60,Bellator 60,2012-03-09,Horseshoe Casino,,Hammond, Indiana, US
59,Bellator 59,2011-11-26,Caesars Atlantic City,,Atlantic City, New Jersey, US
58,Bellator 58,2011-11-19,Seminole Hard Rock Hotel & Casino,,Hollywood, Florida, US
57,Bellator 57,2011-11-12,Casino Rama,,Rama, Ontario, Canada
56,Bellator 56,2011-10-29,Memorial Hall,,Kansas City, Kansas, US
55,Bellator 55,2011-10-22,Cocopah Resort and Casino,,Somerton, Arizona, US
54,Bellator 54,2011-10-15,Boardwalk Hall,,Atlantic City, New Jersey, US
53,Bellator 53,2011-10-08,Buffalo Run Hotel & Casino,,Miami, Oklahoma, US
52,Bellator 52,2011-10-01,L'Auberge du Lac Resort,,Lake Charles, Louisiana, US
51,Bellator 51,2011-09-24,Canton Memorial Civic Center,,Canton, Ohio, US
50,Bellator 50,2011-09-17,Seminole Hard Rock Hotel & Casino,,Hollywood, Florida, US
49,Bellator 49,2011-09-10,Caesars Atlantic City,,Atlantic City, New Jersey, US
48,Bellator 48,2011-08-20,Mohegan Sun Arena,,Uncasville, Connecticut, US
47,Bellator 47,2011-07-23,Casino Rama,,Rama, Ontario, Canada
46,Bellator 46,2011-06-25,Seminole Hard Rock Hotel & Casino,,Hollywood, Florida, US
45,Bellator 45,2011-05-21,L'Auberge du Lac Resort,,Lake Charles, Louisiana, US
44,Bellator 44,2011-05-14,Harrah's Resort,,Atlantic City, New Jersey, US
43,Bellator 43,2011-05-07,First Council Casino,,Newkirk, Oklahoma, US
