weight_class,winner,loser,method,round,time,fight_card,event_name,event_id
Welterweight,Matt Serra,Frank Trigg,TKO (punches),1.0,143.0,Main card,UFC 109: Relentless,353b9b6d0e37588cb033d352ef798e3d11cdaa55680bfac901b3c0c5ccd7f402
Lightweight,Clay Guida,Shannon Gugerty,Submission (arm-triangle choke),2.0,220.0,Preliminary card,UFC Live: Vera vs. Jones,d440dc0e0f6283c1d1422164b4e28abe6d401aae751eb1d720cb05b526bc3700
Heavyweight,Stefan Struve,Paul Buentello,"Decision (majority) (29–28, 29–28, 28–28)",3.0,300.0,Main card,UFC 107: Penn vs. Sanchez,67e3030396e6a78713e98cf62749c37e98968aae6c8b58018f798941f88be062
Lightweight,George Sotiropoulos,Jason Dent,Submission (armbar),2.0,276.0,Preliminary card,UFC 106: Ortiz vs. Griffin 2,047bc169c0ec0bb1010e3fe3467a96efdfb488d44b4de52a186827c5639ec188
Middleweight,Dean Lister,Yuki Sasaki,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,300.0,Main card,UFC Fight Night 6,e660fdf281e036df697e956ac9c6192e91b88ae20d4e5fd8dbcfc060e6672f92
Lightweight,Rob Emerson,Keita Nakamura,"Decision (split) (30–27, 28–29, 30–27)",3.0,300.0,Preliminary card,UFC 81: Breaking Point,4e85dc6a34797383aa81d028f00ea9c2542cdb301481c1d654cb01f1b215dfe2
Lightweight,Jason Dent,Cameron Dollar,Submission (anaconda choke),1.0,286.0,Preliminary card,The Ultimate Fighter: United States vs. United Kingdom Finale,b086c5aa64e46f6277d5fbe60567f91291bb81b63b02438c01517f1ac8eb9f31
Middleweight,Jake Rosholt,Chris Leben,Technical Submission (arm-triangle choke),3.0,90.0,Main card,UFC 102: Couture vs. Nogueira,ba0ce3507827292e45deaec658a7444b381f7b18674c625f77fc4893de31a2a9
Welterweight,Marcus Davis,Chris Lytle,"Decision (split) (29–28, 28–29, 29–28)",3.0,300.0,Main card,UFC 93: Franklin vs. Henderson,332d83c631e69c56608f1cc19c68d04d8e43e7f2e9dd50863da25dd5caf4c72e
Heavyweight,Tank Abbott,Yoji Anjo,Decision (unanimous),1.0,900.0,Heavyweight Tournament Semifinals,UFC Japan: Ultimate Japan,644b2d26d9de7a9dfd3f447c5d623838f30abbc48be4936dfc1003661cf94a86
Welterweight,Rich Clementi,Ross Pointon,Submission (rear-naked choke),2.0,293.0,Preliminary card,UFC Fight Night: Evans vs. Salmon,bdb260c56b3cd949f8b1dc03212c77af7b399825ff5e8236f53bf4a60534cd2b
Welterweight,Matt Hughes (c),Frank Trigg,Submission (Rear-Naked Choke),1.0,245.0,Main card,UFC Ultimate Fight Night,6094f6eedac42cc9c6e9d8533c2eee64fe764cebc4264cb3bbcb54a46c7573e2
Welterweight,Josh Koscheck,Anthony Johnson,Submission (rear-naked choke),2.0,287.0,Main card,UFC 106: Ortiz vs. Griffin 2,047bc169c0ec0bb1010e3fe3467a96efdfb488d44b4de52a186827c5639ec188
Welterweight,Joe Riggs,Jason Von Flue,Submission (triangle choke),1.0,121.0,Preliminary Card,UFC Fight Night 6,e660fdf281e036df697e956ac9c6192e91b88ae20d4e5fd8dbcfc060e6672f92
Lightweight,George Sotiropoulos,George Roop,Submission (kimura),2.0,119.0,Preliminary card,UFC 101: Declaration,51b08c9ff86486b238c69b13a334566b76867f95baf8b75c0ae08ac8ffead53a
Welterweight,Rick Story,Brian Foster,Submission (arm-triangle choke),2.0,69.0,Preliminary card,UFC 103: Franklin vs. Belfort,9cd7157f7080709f9ebe03b6e07e6a364578c75c2d81a3709a3e60306c3f667e
Catchweight (173.5 lb),Luigi Fioravanti,Brodie Farber,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,300.0,Preliminary card,UFC: Fight for the Troops,24431e323d7ed740bee102dc4897f8df0f6adde3d3ef089af5a2cadff4e0ab5c
Welterweight,Forrest Petz,Sam Morgan,"Decision (unanimous) (30–27, 30–26, 30–23)",3.0,300.0,Preliminary Card,UFC Fight Night 6,e660fdf281e036df697e956ac9c6192e91b88ae20d4e5fd8dbcfc060e6672f92
Middleweight,Tim Credeur,Cale Yarbrough,TKO (punches),1.0,114.0,Preliminary card,UFC Fight Night: Silva vs. Irvin,4a7e271f397ae3c33a38fd22b0f01694e977a756dc8d07695b0b27af26b7d15f
Welterweight,Jason Von Flue,Alex Karalexis,Technical Submission (Von Flue choke),3.0,77.0,Preliminary Card,UFC Ultimate Fight Night 3,9c2e46713233ecd96be42f903ec209ae7980fea66645e3b575bda0de0f88b15e
Middleweight,C.B. Dollaway,Goran Reljic,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,300.0,Preliminary card,UFC 110: Nogueira vs. Velasquez,592c509dcacc0b31bf9380fd37fc1e02b2a06407e69431d45993cff0db9bb032
Light Heavyweight,Jason Brilz,Eric Schafer,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,300.0,Preliminary card,UFC Live: Vera vs. Jones,d440dc0e0f6283c1d1422164b4e28abe6d401aae751eb1d720cb05b526bc3700
Lightweight,Shane Nelson,George Roop,"Decision (split) (29–28, 28–29, 29–28)",3.0,300.0,Preliminary card,The Ultimate Fighter: Team Nogueira vs. Team Mir Finale,7fec605a2c7e4edf0d2500002d2cc670d40a11ebe764488b7fb35c475bb940c5
Middleweight,Kendall Grove,Evan Tanner,"Decision (split) (28–29, 30–26, 30–26)",3.0,300.0,Main card,The Ultimate Fighter: Team Rampage vs. Team Forrest Finale,dfc1c882a6676ad51d7978839060bd55c9320cbcb50295c99e2fc226d2c075fc
Light Heavyweight,Tito Ortiz,Ken Shamrock,TKO (punches),1.0,143.0,Main card,UFC Fight Night 6.5,8fee003e45f2b2fa665421460090e3aee5edee5af9d750a3de7443972be82756
Lightweight,Mac Danzig,Justin Buchholz,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,300.0,Televised (Spike TV),UFC 109: Relentless,353b9b6d0e37588cb033d352ef798e3d11cdaa55680bfac901b3c0c5ccd7f402
Middleweight,Rob Kimmons,Rob Yundt,Submission (guillotine choke),1.0,238.0,Preliminary card,The Ultimate Fighter: Team Rampage vs. Team Forrest Finale,dfc1c882a6676ad51d7978839060bd55c9320cbcb50295c99e2fc226d2c075fc
Lightweight,Josh Neer,Din Thomas,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,300.0,Preliminary card,UFC Fight Night: Florian vs. Lauzon,54154e8188cd73b53eb05f81064e76225ff590dade3fbdcafa4a05fbeed276be
Light Heavyweight,Ryan Bader,Carmelo Marrero,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,300.0,Main card,UFC Fight Night: Condit vs. Kampmann,e4704b76ac23adf677e8f61fcc1b4dfc84f82879f4f4a77459c958489aad8632
Middleweight,Wilson Gouveia,Ryan Jensen,Submission (armbar),2.0,124.0,Preliminary card,UFC Fight Night: Diaz vs. Neer,c885b5bc74ca82e0c0bfa13035d02a075e217bfb87d6d079317d1e0cfbfd7bf3
Welterweight,Duane Ludwig,Jonathan Goulet,KO (punch),1.0,11.0,Preliminary Card,UFC Ultimate Fight Night 3,9c2e46713233ecd96be42f903ec209ae7980fea66645e3b575bda0de0f88b15e
Middleweight,John Salter,Jason MacDonald,TKO (ankle injury),1.0,162.0,Preliminary card,UFC 113: Machida vs. Shogun 2,c6e8bd023f98b115079068525f6f1243d2f5de93813044a921f2e7d24b130c51
Middleweight,Dan Miller,Rob Kimmons,Submission (rear-naked choke),1.0,87.0,Preliminary card,UFC Fight Night: Diaz vs. Neer,c885b5bc74ca82e0c0bfa13035d02a075e217bfb87d6d079317d1e0cfbfd7bf3
Welterweight,Josh Koscheck,Yoshiyuki Yoshida,KO (punch),1.0,135.0,Main card,UFC: Fight for the Troops,24431e323d7ed740bee102dc4897f8df0f6adde3d3ef089af5a2cadff4e0ab5c
Light Heavyweight,James Irvin,Houston Alexander,TKO (superman punch and punches),1.0,8.0,Main card,UFC Fight Night: Florian vs. Lauzon,54154e8188cd73b53eb05f81064e76225ff590dade3fbdcafa4a05fbeed276be
Light Heavyweight,Matt Hamill,Tim Boetsch,TKO (punches),2.0,85.0,Main card,UFC Fight Night: Florian vs. Lauzon,54154e8188cd73b53eb05f81064e76225ff590dade3fbdcafa4a05fbeed276be
Lightweight,Rolando Delgado,John Polakowski,Submission (guillotine choke),2.0,138.0,Preliminary card,The Ultimate Fighter: Team Nogueira vs. Team Mir Finale,7fec605a2c7e4edf0d2500002d2cc670d40a11ebe764488b7fb35c475bb940c5
Lightweight,Darren Elkins,Duane Ludwig,TKO (ankle injury),1.0,44.0,Preliminary card,UFC Live: Vera vs. Jones,d440dc0e0f6283c1d1422164b4e28abe6d401aae751eb1d720cb05b526bc3700
Welterweight,Paul Daley,Martin Kampmann,TKO (knee and punches),1.0,151.0,Main card,UFC 103: Franklin vs. Belfort,9cd7157f7080709f9ebe03b6e07e6a364578c75c2d81a3709a3e60306c3f667e
Middleweight,Drew McFedries,Marvin Eastman,TKO (punches),1.0,68.0,Preliminary card,The Ultimate Fighter: Team Rampage vs. Team Forrest Finale,dfc1c882a6676ad51d7978839060bd55c9320cbcb50295c99e2fc226d2c075fc
Middleweight,Anderson Silva (c),Chael Sonnen,Submission (triangle armbar),5.0,190.0,Main card,UFC 117: Silva vs. Sonnen,46b0d4bae3de7c34e806ccfb72f0e3774c3234f2426b70adaa45f3fa06d9fb40
Middleweight,Nate Marquardt,Jeremy Horn,Submission (guillotine choke),2.0,97.0,Main card,UFC 81: Breaking Point,4e85dc6a34797383aa81d028f00ea9c2542cdb301481c1d654cb01f1b215dfe2
Lightweight,Gray Maynard,Dennis Siver,"Decision (unanimous) (29–28, 30–27, 29–28)",3.0,300.0,Preliminary card,UFC Fight Night: Swick vs. Burkman,a86be145ba92ef7c6ad9680887680db876f7c694a03c2642417e27a76c1395b0
Lightweight,Joe Stevenson,Spencer Fisher,TKO (punches),2.0,243.0,Main card,UFC 104: Machida vs. Shogun,6b74d68fc33489c4eb0316add07f907bcf610a4186d062a73f8d5b410e3ed6e4
Light Heavyweight,Eric Schafer,Antonio Mendes,TKO (punches),1.0,215.0,Preliminary card,UFC 93: Franklin vs. Henderson,332d83c631e69c56608f1cc19c68d04d8e43e7f2e9dd50863da25dd5caf4c72e
Welterweight,Jonathan Goulet,Jay Hieron,TKO (doctor stoppage),3.0,65.0,Preliminary card,UFC Ultimate Fight Night 2,60a0616c76802894c837d75f1425a54f0e839c547b8acff283ac4289fb109b37
Lightweight,Clay Guida,Justin James,Submission (rear-naked choke),2.0,282.0,Preliminary Card,UFC 64: Unstoppable,ee6755127a853ddf942f59127251f862f5e14df42317c19f72c8d0ec65ec74ff
Light Heavyweight,Rashad Evans,Stephan Bonnar,"Decision (Majority) (30-27, 29-28, 28-28)",3.0,300.0,Main card,UFC Ultimate Fight Night 5,aaad523bf9252f5c7d4d32f003a7b98b73a05c8e417879c3259886ac08bbc023
Heavyweight,Joey Beltran,Rolles Gracie Jr.,TKO (punches),2.0,91.0,Preliminary card,UFC 109: Relentless,353b9b6d0e37588cb033d352ef798e3d11cdaa55680bfac901b3c0c5ccd7f402
Welterweight,Brad Blackburn,James Giboo,TKO (punches),2.0,149.0,Preliminary card,UFC Fight Night: Silva vs. Irvin,4a7e271f397ae3c33a38fd22b0f01694e977a756dc8d07695b0b27af26b7d15f
Lightweight,Thiago Tavares,Jason Black,Submission (triangle choke),2.0,169.0,Main card,UFC Fight Night: Stout vs. Fisher,b0e43b3de81d79a8e9ea19c6b14e6a2e17afea27f1ebf14bc56ebde0eb17088e
Middleweight,Nate Marquardt,Dean Lister,"Decision (unanimous) (30–27, 30–25, 30–25)",3.0,300.0,Preliminary card,UFC Fight Night: Evans vs. Salmon,bdb260c56b3cd949f8b1dc03212c77af7b399825ff5e8236f53bf4a60534cd2b
Lightweight,Gray Maynard,Nate Diaz,"Decision (split) (28–29, 30–27, 29–28)",3.0,300.0,Main card,UFC Fight Night: Maynard vs. Diaz,d1a799544af34717c28993c689864e2fddf10df11a3641503e9d20e06a8d78cc
Heavyweight,James McSweeney,Darrill Schoonover,TKO (punches),3.0,200.0,Preliminary card,The Ultimate Fighter: Heavyweights Finale,4b7ab474cda21c1dfc8b2886623e219f9fee3aabba3691b4a3735f3c667f4f57
Bantamweight,Jens Pulver,Joao Roque,Decision (unanimous),3.0,300.0,Main card,UFC 26: Ultimate Field of Dreams,6779417d9f70888c368aaf44270aa4f93331df74e2662c675580570e1b305f3e
Welterweight,Brian Foster,Brock Larson,TKO (punches),2.0,205.0,Preliminary card,UFC 106: Ortiz vs. Griffin 2,047bc169c0ec0bb1010e3fe3467a96efdfb488d44b4de52a186827c5639ec188
NaN,Royce Gracie,Dan Severn,Submission (triangle choke),,949.0,Main card,UFC 4: Revenge of the Warriors,0b7d9ab5a22f81e19800c3013f75686b64f4fdf271ec600ec4b905756cc61b4d
Middleweight,Alessio Sakara,Joe Vedepo,KO (head kick),1.0,87.0,Preliminary card,UFC Fight Night: Diaz vs. Neer,c885b5bc74ca82e0c0bfa13035d02a075e217bfb87d6d079317d1e0cfbfd7bf3
Welterweight,Carlos Condit,Jake Ellenberger,"Decision (split) (29–28, 28–29, 29–28)",3.0,300.0,Main card,UFC Fight Night: Diaz vs. Guillard,7d2de2d8c0dce70173d87d71e5054a14a52c718ee72080911d909b1ea9b9fd3a
Light Heavyweight,Mark Coleman,Stephan Bonnar,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,300.0,Preliminary Card,UFC 100,f5d150fcecd23ac475e3ec0c6b49d99afac59aca2c8bf4e5aedc757305f0a7c2
Middleweight,Yushin Okami,Kalib Starnes,TKO (punches),3.0,100.0,Preliminary Card,UFC 64: Unstoppable,ee6755127a853ddf942f59127251f862f5e14df42317c19f72c8d0ec65ec74ff
Heavyweight,Justin McCully,Eddie Sanchez,"Decision (unanimous) (29–28, 30–27, 30–27)",3.0,300.0,Preliminary card,UFC: Fight for the Troops,24431e323d7ed740bee102dc4897f8df0f6adde3d3ef089af5a2cadff4e0ab5c
Welterweight,Chris Lytle,Kyle Bradley,TKO (punches),1.0,33.0,Preliminary card,UFC 81: Breaking Point,4e85dc6a34797383aa81d028f00ea9c2542cdb301481c1d654cb01f1b215dfe2
Lightweight,Frankie Edgar,Matt Veach,Submission (rear-naked choke),2.0,142.0,Main card,The Ultimate Fighter: Heavyweights Finale,4b7ab474cda21c1dfc8b2886623e219f9fee3aabba3691b4a3735f3c667f4f57
Light Heavyweight,Forrest Griffin,Tito Ortiz,"Decision (split) (28–29, 30–27, 29–28)",3.0,300.0,Main card,UFC 106: Ortiz vs. Griffin 2,047bc169c0ec0bb1010e3fe3467a96efdfb488d44b4de52a186827c5639ec188
Lightweight,Nate Diaz,Junior Assuncao,Submission (guillotine choke),1.0,250.0,Main card,UFC Fight Night: Thomas vs. Florian,6fa0b2ed1939790682f9a085aa469b13d8b00db2f92f1544f19ec709f0f2396e
Lightweight,Efrain Escudero,Cole Miller,TKO (punches),1.0,216.0,Televised (Spike TV),UFC 103: Franklin vs. Belfort,9cd7157f7080709f9ebe03b6e07e6a364578c75c2d81a3709a3e60306c3f667e
Lightweight,Tyson Griffin,Gleison Tibau,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,300.0,Main card,UFC 81: Breaking Point,4e85dc6a34797383aa81d028f00ea9c2542cdb301481c1d654cb01f1b215dfe2
Light Heavyweight,Antônio Rogério Nogueira,Luiz Cané,TKO (punches),1.0,116.0,Main card,UFC 106: Ortiz vs. Griffin 2,047bc169c0ec0bb1010e3fe3467a96efdfb488d44b4de52a186827c5639ec188
Middleweight,Vitor Belfort,Rich Franklin,KO (punches),1.0,182.0,Main card,UFC 103: Franklin vs. Belfort,9cd7157f7080709f9ebe03b6e07e6a364578c75c2d81a3709a3e60306c3f667e
Lightweight,Din Thomas,Clay Guida,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,300.0,Preliminary card,UFC Fight Night: Evans vs. Salmon,bdb260c56b3cd949f8b1dc03212c77af7b399825ff5e8236f53bf4a60534cd2b
Catchweight (189 lb),Wilson Gouveia,Jason MacDonald,TKO (submission to strikes),1.0,138.0,Main card,The Ultimate Fighter: Team Nogueira vs. Team Mir Finale,7fec605a2c7e4edf0d2500002d2cc670d40a11ebe764488b7fb35c475bb940c5
Welterweight,DaMarques Johnson,Edgar Garcia,Submission (triangle choke),1.0,243.0,Preliminary card,UFC 107: Penn vs. Sanchez,67e3030396e6a78713e98cf62749c37e98968aae6c8b58018f798941f88be062
Welterweight,Josh Koscheck,Jonathan Goulet,Submission (punches),1.0,250.0,Main card,UFC Fight Night 6,e660fdf281e036df697e956ac9c6192e91b88ae20d4e5fd8dbcfc060e6672f92
Welterweight,Luke Cummo,Jason Von Flue,"Decision (unanimous) (30–27, 30–26, 30–27)",3.0,300.0,Preliminary Card,UFC Ultimate Fight Night 4,9534b1aff883d2c07b3355fee6ef5dd2fbb385b2979f8b5c7adb4f3acb317d9b
Welterweight,Dustin Hazelett,Jonathan Goulet,Submission (armbar),1.0,74.0,Preliminary card,UFC Fight Night: Thomas vs. Florian,6fa0b2ed1939790682f9a085aa469b13d8b00db2f92f1544f19ec709f0f2396e
Middleweight,Jorge Rivera,Rob Kimmons,TKO (punches),3.0,113.0,Preliminary card,UFC 104: Machida vs. Shogun,6b74d68fc33489c4eb0316add07f907bcf610a4186d062a73f8d5b410e3ed6e4
Middleweight,Nate Marquardt,Crafton Wallace,Submission (rear-naked choke),2.0,74.0,Preliminary Card,UFC Fight Night 6.5,8fee003e45f2b2fa665421460090e3aee5edee5af9d750a3de7443972be82756
Heavyweight,Cheick Kongo,Paul Buentello,TKO (submission to strikes),3.0,76.0,Main card,UFC Live: Vera vs. Jones,d440dc0e0f6283c1d1422164b4e28abe6d401aae751eb1d720cb05b526bc3700
Welterweight,Rory Markham,Brodie Farber,KO (head kick),1.0,97.0,Preliminary card,UFC Fight Night: Silva vs. Irvin,4a7e271f397ae3c33a38fd22b0f01694e977a756dc8d07695b0b27af26b7d15f
Light Heavyweight,Brian Stann,Rodney Wallace,"Decision (unanimous) (30–27, 29–28, 29–28)",3.0,300.0,Preliminary card,The Ultimate Fighter: Heavyweights Finale,4b7ab474cda21c1dfc8b2886623e219f9fee3aabba3691b4a3735f3c667f4f57
Middleweight,Alan Belcher,Denis Kang,Submission (guillotine choke),2.0,276.0,Main card,UFC 93: Franklin vs. Henderson,332d83c631e69c56608f1cc19c68d04d8e43e7f2e9dd50863da25dd5caf4c72e
Lightweight,Hermes França,Spencer Fisher,TKO (punches),2.0,243.0,Main card,UFC Fight Night: Evans vs. Salmon,bdb260c56b3cd949f8b1dc03212c77af7b399825ff5e8236f53bf4a60534cd2b
Heavyweight,Carmelo Marrero,Cheick Kongo,"Decision (split) (29–28, 28–29, 29–28)",3.0,300.0,Main card,UFC 64: Unstoppable,ee6755127a853ddf942f59127251f862f5e14df42317c19f72c8d0ec65ec74ff
Welterweight,Ben Saunders,Dan Barrera,"Decision (unanimous) (30–27, 29–28, 30–27)",3.0,300.0,Main card,The Ultimate Fighter: Team Hughes vs. Team Serra Finale,34882f2f2c226d1a6fc1ba5edea090ff2c3ac4097b9a6ecb200a1c8d41a2ae63
Lightweight,Spencer Fisher,Dan Lauzon,TKO (punches),1.0,278.0,Main card,UFC 64: Unstoppable,ee6755127a853ddf942f59127251f862f5e14df42317c19f72c8d0ec65ec74ff
Lightweight,Rafael dos Anjos,Kyle Bradley,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,300.0,Preliminary card,UFC Fight Night: Maynard vs. Diaz,d1a799544af34717c28993c689864e2fddf10df11a3641503e9d20e06a8d78cc
Light Heavyweight,Vladimir Matyushenko,Igor Pokrajac,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,300.0,Preliminary card,UFC 103: Franklin vs. Belfort,9cd7157f7080709f9ebe03b6e07e6a364578c75c2d81a3709a3e60306c3f667e
Welterweight,Mike Swick,Josh Burkman,"Decision (majority) (29–28, 29–28, 29–29)",3.0,300.0,Main card,UFC Fight Night: Swick vs. Burkman,a86be145ba92ef7c6ad9680887680db876f7c694a03c2642417e27a76c1395b0
Middleweight,Kendall Grove,Jake Rosholt,Submission (triangle choke),1.0,239.0,Preliminary card (Spike TV),UFC 106: Ortiz vs. Griffin 2,047bc169c0ec0bb1010e3fe3467a96efdfb488d44b4de52a186827c5639ec188
Heavyweight,Junior dos Santos,Roy Nelson,"Decision (unanimous) (30–26, 30–27, 30–27)",3.0,300.0,Main card,UFC 117: Silva vs. Sonnen,46b0d4bae3de7c34e806ccfb72f0e3774c3234f2426b70adaa45f3fa06d9fb40
Welterweight,Brad Blackburn,Edgar Garcia,"Decision (split) (28–29, 29–28, 29–28)",3.0,300.0,Preliminary card,The Ultimate Fighter: United States vs. United Kingdom Finale,b086c5aa64e46f6277d5fbe60567f91291bb81b63b02438c01517f1ac8eb9f31
Welterweight,Paulo Thiago,Mike Swick,Technical Submission (D'Arce choke),2.0,114.0,Main card,UFC 109: Relentless,353b9b6d0e37588cb033d352ef798e3d11cdaa55680bfac901b3c0c5ccd7f402
Heavyweight,Stefan Struve,Christian Morecraft,KO (punches),2.0,22.0,Preliminary card,UFC 117: Silva vs. Sonnen,46b0d4bae3de7c34e806ccfb72f0e3774c3234f2426b70adaa45f3fa06d9fb40
Middleweight,Mike Massenzio,Drew McFedries,Submission (kimura),1.0,88.0,Preliminary card,UFC Fight Night: Diaz vs. Neer,c885b5bc74ca82e0c0bfa13035d02a075e217bfb87d6d079317d1e0cfbfd7bf3
Lightweight,Shannon Gugerty,Dale Hartt,Submission (rear-naked choke),1.0,213.0,Preliminary card,UFC Fight Night: Silva vs. Irvin,4a7e271f397ae3c33a38fd22b0f01694e977a756dc8d07695b0b27af26b7d15f
Middleweight,Ed Herman,Chris Price,Submission (armbar),1.0,178.0,Preliminary card,UFC Fight Night: Evans vs. Salmon,bdb260c56b3cd949f8b1dc03212c77af7b399825ff5e8236f53bf4a60534cd2b
Welterweight,Jesse Lennox,Danillo Villefort,TKO (doctor stoppage),3.0,213.0,Preliminary card,UFC 101: Declaration,51b08c9ff86486b238c69b13a334566b76867f95baf8b75c0ae08ac8ffead53a
Middleweight,Martin Kampmann,Crafton Wallace,Submission (rear-naked choke),1.0,179.0,Preliminary Card,UFC Fight Night 6,e660fdf281e036df697e956ac9c6192e91b88ae20d4e5fd8dbcfc060e6672f92
Middleweight,Frank Shamrock,Kevin Jackson,Submission (armbar),1.0,22.0,UFC Light Heavyweight Championship,UFC Japan: Ultimate Japan,644b2d26d9de7a9dfd3f447c5d623838f30abbc48be4936dfc1003661cf94a86
Lightweight,Marcus Aurelio,Ryan Roberts,Submission (armbar),1.0,16.0,Preliminary card,UFC Fight Night: Florian vs. Lauzon,54154e8188cd73b53eb05f81064e76225ff590dade3fbdcafa4a05fbeed276be
Heavyweight,Jake O'Brien,Kristof Midoux,TKO (punches),2.0,52.0,Preliminary Card,UFC Fight Night 6,e660fdf281e036df697e956ac9c6192e91b88ae20d4e5fd8dbcfc060e6672f92
Welterweight,Johny Hendricks,T. J. Grant,"Decision (majority) (29–27, 29–27, 28–28)",3.0,300.0,Preliminary card,UFC 113: Machida vs. Shogun 2,c6e8bd023f98b115079068525f6f1243d2f5de93813044a921f2e7d24b130c51
Lightweight,Sam Stout,Joe Lauzon,"Decision (unanimous) (30–26, 30–27, 30–27)",3.0,300.0,Main card,UFC 108: Evans vs. Silva,45a11c2213da1ff960233efb99898d0e69d3abdff588c2b6972d42ac310b77ff
Middleweight,Nate Quarry,Tim Credeur,"Decision (unanimous) (29–28, 29–27, 29–28)",3.0,300.0,Main card,UFC Fight Night: Diaz vs. Guillard,7d2de2d8c0dce70173d87d71e5054a14a52c718ee72080911d909b1ea9b9fd3a
Lightweight,Aaron Riley,Shane Nelson,"Decision (unanimous) (30-27, 30-27, 30-27)",3.0,300.0,Main card,UFC 101: Declaration,51b08c9ff86486b238c69b13a334566b76867f95baf8b75c0ae08ac8ffead53a
Heavyweight,Brock Lesnar (c),Frank Mir (ic),TKO (punches),2.0,108.0,Main card,UFC 100,f5d150fcecd23ac475e3ec0c6b49d99afac59aca2c8bf4e5aedc757305f0a7c2
Heavyweight,Dan Christison,Brad Imes,Submission (armbar),3.0,217.0,Preliminary Card,UFC Ultimate Fight Night 4,9534b1aff883d2c07b3355fee6ef5dd2fbb385b2979f8b5c7adb4f3acb317d9b
Middleweight,Tyrone Roberts,David Dodd,Decision (unanimous),3.0,300.0,Main card,UFC 26: Ultimate Field of Dreams,6779417d9f70888c368aaf44270aa4f93331df74e2662c675580570e1b305f3e
Middleweight,Demian Maia,Dan Miller,"Decision (unanimous) (30–27, 29–28, 29–28)",3.0,300.0,Main card,UFC 109: Relentless,353b9b6d0e37588cb033d352ef798e3d11cdaa55680bfac901b3c0c5ccd7f402
Lightweight,Evan Dunham,Efrain Escudero,Submission (armbar),3.0,119.0,Main card,UFC Fight Night: Maynard vs. Diaz,d1a799544af34717c28993c689864e2fddf10df11a3641503e9d20e06a8d78cc
Light Heavyweight,Quinton Jackson (UFC Champion),Dan Henderson (Pride Champion),"Decision (unanimous) (48–47, 49–46, 49–46)",5.0,300.0,Main card,UFC Fight Night: Stevenson vs. Guillard,e8ddffdce01c44d5969614f1f53b0e01c1a881c03d84658cf18b47eaee6207a7
Light Heavyweight,Ryan Bader,Keith Jardine,KO (flying knee and punch),3.0,130.0,Main card,UFC 110: Nogueira vs. Velasquez,592c509dcacc0b31bf9380fd37fc1e02b2a06407e69431d45993cff0db9bb032
Heavyweight,Antônio Rodrigo Nogueira,Randy Couture,"Decision (unanimous) (30–27, 30–27, 29–28)",3.0,300.0,Main card,UFC 102: Couture vs. Nogueira,ba0ce3507827292e45deaec658a7444b381f7b18674c625f77fc4893de31a2a9
Middleweight,Aaron Simpson,Ed Herman,TKO (knees),2.0,17.0,Preliminary card,UFC 102: Couture vs. Nogueira,ba0ce3507827292e45deaec658a7444b381f7b18674c625f77fc4893de31a2a9
Welterweight,Kevin Burns,Anthony Johnson,TKO (eye poke),3.0,215.0,Main card,UFC Fight Night: Silva vs. Irvin,4a7e271f397ae3c33a38fd22b0f01694e977a756dc8d07695b0b27af26b7d15f
Middleweight,Anderson Silva (c),Rich Franklin,TKO (knees),2.0,67.0,Main card,UFC Fight Night: Stevenson vs. Guillard,e8ddffdce01c44d5969614f1f53b0e01c1a881c03d84658cf18b47eaee6207a7
Lightweight,Kenny Florian,Clay Guida,Submission (rear-naked choke),2.0,139.0,Main card,UFC 107: Penn vs. Sanchez,67e3030396e6a78713e98cf62749c37e98968aae6c8b58018f798941f88be062
Middleweight,Jon Fitch,Brock Larson,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,300.0,Preliminary card,UFC Ultimate Fight Night 2,60a0616c76802894c837d75f1425a54f0e839c547b8acff283ac4289fb109b37
Welterweight,Anthony Johnson,Kevin Burns,KO (head kick),3.0,28.0,Main card,The Ultimate Fighter: Team Nogueira vs. Team Mir Finale,7fec605a2c7e4edf0d2500002d2cc670d40a11ebe764488b7fb35c475bb940c5
Light Heavyweight,Brandon Vera,Reese Andy,"Decision (unanimous) (30–27, 29–28, 30–27)",3.0,300.0,Main card,UFC Fight Night: Silva vs. Irvin,4a7e271f397ae3c33a38fd22b0f01694e977a756dc8d07695b0b27af26b7d15f
Welterweight,Marcus Davis,Forrest Petz,Submission (guillotine choke),1.0,298.0,Preliminary Card,UFC Fight Night 6.5,8fee003e45f2b2fa665421460090e3aee5edee5af9d750a3de7443972be82756
Middleweight,Alan Belcher,Jorge Santiago,KO (head kick),3.0,165.0,Preliminary Card,UFC Fight Night: Sanchez vs. Riggs,a832d132fbe84927f6c0abc83d0eb9ba8c9ec113ff7d49582fe0a949fa1bc85b
