event_num,event,date,venue,location,attendance,event_id
562,UFC on ESPN: Rodriguez vs. Waterson,2021-05-08,UFC Apex,"Las Vegas, Nevada, U.S.",0,3c3be60f725f6fe23eb75917de5f460bb0895c9c1b443a14a6726b080064f89d
561,UFC on ESPN: Reyes vs. Procházka,2021-05-01,UFC Apex,"Las Vegas, Nevada, U.S.",0,e60ad9c76605df8a297afd46398f97e6a8950f628bcf8006e4f48f32a205c392
560,UFC 261: Usman vs. Masvidal 2,2021-04-24,VyStar Veterans Memorial Arena,"Jacksonville, Florida, U.S.","15,269",e383b0b5ea5893941d940873510c1c47d00e1758cc52f40af284339b1ba9e846
559,UFC on ESPN: Whittaker vs. Gastelum,2021-04-17,UFC Apex,"Las Vegas, Nevada, U.S.",0,07a011e36e06c324ddc0ec315320724349b22bf0e6ad217e363a25c6c52c0a23
558,UFC on ABC: Vettori vs. Holland,2021-04-10,UFC Apex,"Las Vegas, Nevada, U.S.",0,d871a6bbfbcfd3c2ca1f22540b2f2ea52e289a1dfbd32ad39fbc54eeee1639f7
557,UFC 260: Miocic vs. Ngannou 2,2021-03-27,UFC Apex,"Las Vegas, Nevada, U.S.",0,2e978ce988a99daa8d44ab5b732cac6bef8139c20b6818b48dbf2c467fc79cbb
556,UFC on ESPN: Brunson vs. Holland,2021-03-20,UFC Apex,"Las Vegas, Nevada, U.S.",0,5d134c7d21839177a467e7ee94b0e93ab01229331a42e676c0f5ced676b92a01
555,UFC Fight Night: Edwards vs. Muhammad,2021-03-13,UFC Apex,"Las Vegas, Nevada, U.S.",0,3366aa68d77afb261ab759b880f245d85946bc4327de6c3fde8f31f7b612f4e0
554,UFC 259: Błachowicz vs. Adesanya,2021-03-06,UFC Apex,"Las Vegas, Nevada, U.S.",0,964bbeda71fb958eacebf876cf579ccf666f351547666c52af32302fd3684677
553,UFC Fight Night: Rozenstruik vs. Gane,2021-02-27,UFC Apex,"Las Vegas, Nevada, U.S.",0,95852314e8ce615a4ee3fcd7ffec7bb60e2463fc26e0172bc0bcdfa416046999
