event_details,event_date,event_title,fighter1,fighter2,city,state,country
http://ufcstats.com/event-details/320edfb0332b7073,2021-07-31,UFC Fight Night, Hall,Strickland,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/e57f0b06ea39e360,2021-07-24,UFC Fight Night, Sandhagen,Dillashaw,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/40389d39a92f5bfa,2021-07-17,UFC Fight Night, Makhachev,Moises,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/8a0be41c0380188d,2021-07-10,UFC 264, Poirier,McGregor 3,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/a1d6b308781aa2f5,2021-06-26,UFC Fight Night, Gane,Volkov,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/9ddfb3369a3b0394,2021-06-19,UFC Fight Night, Jung,Ige,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/0b64d0fed453ef7f,2021-06-12,UFC 263, Adesanya,Vettori 2,Glendale,Arizona,USA
http://ufcstats.com/event-details/3b2485c8d5c8b580,2021-06-05,UFC Fight Night, Rozenstruik,Sakai,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/277ffed20cf07aea,2021-05-22,UFC Fight Night, Font,Garbrandt,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/744f50016c39c26c,2021-05-15,UFC 262, Oliveira,Chandler,Houston,Texas,USA
http://ufcstats.com/event-details/58a36b4ccf5dc30e,2021-05-08,UFC Fight Night, Rodriguez,Waterson,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/d57e6a8971b6d2bd,2021-05-01,UFC Fight Night, Reyes,Prochazka,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/27541033b97c076d,2021-04-24,UFC 261, Usman,Masvidal 2,Jacksonville,Florida,USA
http://ufcstats.com/event-details/4a35913bd9aa4161,2021-04-17,UFC Fight Night, Whittaker,Gastelum,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/9114c8ded5ccd71d,2021-04-10,UFC Fight Night, Vettori,Holland,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/6597b611f1c32555,2021-03-27,UFC 260, Miocic,Ngannou,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/c36e1f4fa755ffb4,2021-03-20,UFC Fight Night, Brunson,Holland,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/8c90c1563972e44d,2021-03-13,UFC Fight Night, Edwards,Muhammad,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/6e2b1d631832921d,2021-03-06,UFC 259, Blachowicz,Adesanya,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/81b57acd6975ac06,2021-02-27,UFC Fight Night, Rozenstruik,Gane,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/bfe95ec546692b13,2021-02-20,UFC Fight Night, Blaydes,Lewis,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/3f7c14c7eca7195d,2021-02-13,UFC 258, Usman,Burns,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/a1153013cb5f628f,2021-02-06,UFC Fight Night, Overeem,Volkov,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/4304992c2acc187b,2021-01-23,UFC 257, Poirier,McGregor,Abu Dhabi,Abu Dhabi,United Arab Emirates
http://ufcstats.com/event-details/56116537d71a578c,2021-01-20,UFC Fight Night, Chiesa,Magny,Abu Dhabi,Abu Dhabi,United Arab Emirates
http://ufcstats.com/event-details/307064d3e0f036c2,2021-01-16,UFC Fight Night, Holloway,Kattar,Abu Dhabi,Abu Dhabi,United Arab Emirates
http://ufcstats.com/event-details/e49c2db95e572dc8,2020-12-19,UFC Fight Night, Thompson,Neal,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/d0d43cb9b14f231c,2020-12-12,UFC 256, Figueiredo,Moreno,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/398b440e73d55b8b,2020-12-05,UFC Fight Night, Hermansson,Vettori,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/992c82450d96f726,2020-11-28,UFC Fight Night, Smith,Clark,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/bbb15f301e4a490a,2020-11-21,UFC 255, Figueiredo,Perez,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/3bc27ec15facbcf3,2020-11-14,UFC Fight Night, Felder,Dos Anjos,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/41dca66f9dadfc86,2020-11-07,UFC Fight Night, Santos,Teixeira,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/ad044be25c94dcfd,2020-10-31,UFC Fight Night, Hall,Silva,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/c3c38c86f5ab9b5c,2020-10-24,UFC 254, Khabib,Gaethje,Abu Dhabi,Abu Dhabi,United Arab Emirates
http://ufcstats.com/event-details/d4f364dd076bb0e2,2020-10-17,UFC Fight Night, Ortega,The Korean Zombie,Abu Dhabi,Abu Dhabi,United Arab Emirates
http://ufcstats.com/event-details/fd4578cac86d75ca,2020-10-10,UFC Fight Night, Moraes,Sandhagen,Abu Dhabi,Abu Dhabi,United Arab Emirates
http://ufcstats.com/event-details/805ad1801eb26abb,2020-10-03,UFC Fight Night, Holm,Aldana,Abu Dhabi,Abu Dhabi,United Arab Emirates
http://ufcstats.com/event-details/e69c5ce12f4e762b,2020-09-26,UFC 253, Adesanya,Costa,Abu Dhabi,Abu Dhabi,United Arab Emirates
http://ufcstats.com/event-details/831b937811804dad,2020-09-19,UFC Fight Night, Covington,Woodley,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/9c37681096c6f3a9,2020-09-12,UFC Fight Night, Waterson,Hill,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/542db012217ecb83,2020-09-05,UFC Fight Night, Overeem,Sakai,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/e29cf523ebd155c5,2020-08-29,UFC Fight Night, Smith,Rakic,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/af1e5c64b8663aa0,2020-08-22,UFC Fight Night, Munhoz,Edgar,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/bda04c573563cc2e,2020-08-15,UFC 252, Miocic,Cormier 3,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/7a82635ffa9b59fe,2020-08-08,UFC Fight Night, Lewis,Oleinik,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/3746e21bb508391a,2020-08-01,UFC Fight Night, Brunson,Shahbazyan,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/dde70a112e053a6c,2020-07-25,UFC Fight Night, Whittaker,Till,Abu Dhabi,Abu Dhabi,United Arab Emirates
http://ufcstats.com/event-details/ddbd0d6259ce57cc,2020-07-18,UFC Fight Night, Figueiredo,Benavidez 2,Abu Dhabi,Abu Dhabi,United Arab Emirates
http://ufcstats.com/event-details/18f5669a92e99d92,2020-07-15,UFC Fight Night, Kattar,Ige,Abu Dhabi,Abu Dhabi,United Arab Emirates
http://ufcstats.com/event-details/dbd198f780286aca,2020-07-11,UFC 251, Usman,Masvidal,Abu Dhabi,Abu Dhabi,United Arab Emirates
http://ufcstats.com/event-details/c32eab6c2119e989,2020-06-27,UFC Fight Night, Poirier,Hooker,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/2eab7a6c8b0ed8cc,2020-06-20,UFC Fight Night, Blaydes,Volkov,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/1e13936d708bcff7,2020-06-13,UFC Fight Night, Eye,Calvillo,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/4c12aa7ca246e7a4,2020-06-06,UFC 250, Nunes,Spencer,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/14b9e0f2679a2205,2020-05-30,UFC Fight Night, Woodley,Burns,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/dfb965c9824425db,2020-05-16,UFC Fight Night, Overeem,Harris,Jacksonville,Florida,USA
http://ufcstats.com/event-details/5f8e00c27b7e7410,2020-05-13,UFC Fight Night, Smith,Teixeira,Jacksonville,Florida,USA
http://ufcstats.com/event-details/898337ef520fe4d3,2020-05-09,UFC 249, Ferguson,Gaethje,Jacksonville,Florida,USA
http://ufcstats.com/event-details/53278852bcd91e11,2020-03-14,UFC Fight Night, Lee,Oliveira,Brasilia,Distrito Federal,Brazil
http://ufcstats.com/event-details/0b5b6876c2a4723f,2020-03-07,UFC 248, Adesanya,Romero,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/fc9a9559a05f2704,2020-02-29,UFC Fight Night, Benavidez,Figueiredo,Norfolk,Virginia,USA
http://ufcstats.com/event-details/33b2f68ef95252e0,2020-02-22,UFC Fight Night, Felder,Hooker,Auckland,New Zealand,
http://ufcstats.com/event-details/5df17b3620145578,2020-02-15,UFC Fight Night, Anderson,Blachowicz,Rio Rancho,New Mexico,USA
http://ufcstats.com/event-details/b26d3e3746fb4024,2020-02-08,UFC 247, Jones,Reyes,Houston,Texas,USA
http://ufcstats.com/event-details/44aa652b181bcf68,2020-01-25,UFC Fight Night, Blaydes,Dos Santos,Raleigh,North Carolina,USA
http://ufcstats.com/event-details/0c1773639c795466,2020-01-18,UFC 246, McGregor,Cowboy,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/74fefd43f073cd2f,2019-12-21,UFC Fight Night, Edgar,The Korean Zombie,Busan,South Korea,
http://ufcstats.com/event-details/4565d435005319c0,2019-12-14,UFC 245, Usman,Covington,Las Vegas,Nevada,USA
http://ufcstats.com/event-details/b09890ba7ce1d1e2,2019-12-07,UFC Fight Night, Overeem,Rozenstruik,Washington,DC,USA
http://ufcstats.com/event-details/81ca2c245b19b3c5,2019-11-16,UFC Fight Night, Blachowicz,Jacare,Sao Paulo,Sao Paulo,Brazil
http://ufcstats.com/event-details/8d5daf67983b65ba,2019-11-09,UFC Fight Night, Zabit,Kattar,Moscow,Moscow,Russia
http://ufcstats.com/event-details/fd87b1bbfcde9d5e,2019-11-02,UFC 244, Masvidal,Diaz,New York City,New York,USA
http://ufcstats.com/event-details/df05aa15b2d66f57,2019-10-26,UFC Fight Night, Maia,Askren,Kallang,Singapore,
http://ufcstats.com/event-details/3ae10ac4df3df05c,2019-10-18,UFC Fight Night, Reyes,Weidman,Boston,Massachusetts,USA
http://ufcstats.com/event-details/0941df56f6ac954b,2019-10-12,UFC Fight Night, Joanna,Waterson,Tampa,Florida,USA
http://ufcstats.com/event-details/3cf68c1d17f66af7,2019-10-05,UFC 243, Whittaker,Adesanya,Melbourne,Victoria,Australia
http://ufcstats.com/event-details/1bf49bf829964144,2019-09-28,UFC Fight Night, Hermansson,Cannonier,Copenhagen,Denmark,
http://ufcstats.com/event-details/94a5aaf573f780ad,2019-09-21,UFC Fight Night, Rodriguez,Stephens,Mexico City,Distrito Federal,Mexico
http://ufcstats.com/event-details/4834ff149dc9542a,2019-09-14,UFC Fight Night, Cowboy,Gaethje,Vancouver,British Columbia,Canada
http://ufcstats.com/event-details/a79bfbc01b2264d6,2019-09-07,UFC 242, Khabib,Poirier,Abu Dhabi,Abu Dhabi,United Arab Emirates
http://ufcstats.com/event-details/2c104b7e59a72629,2019-08-31,UFC Fight Night, Andrade,Zhang,Shenzhen,Guangdong,China
http://ufcstats.com/event-details/70167689d6a01793,2019-08-17,UFC 241, Cormier,Miocic 2,Anaheim,California,USA
http://ufcstats.com/event-details/e5d03e4d966126bd,2019-08-10,UFC Fight Night, Shevchenko,Carmouche 2,Montevideo,Uruguay,
http://ufcstats.com/event-details/03da33a102d9a45f,2019-08-03,UFC Fight Night, Covington,Lawler,Newark,New Jersey,USA
