event_num,event,date,venue,city,state,country,attendance
54,ONE: Dynasty Of Heroes,2017-05-26,Singapore Indoor Stadium,,Kallang, Singapore,
53,ONE: Kings of Destiny,2017-04-21,SM Mall of Asia Arena,,Pasay, Philippines,
52,ONE: Warrior Kingdom,2017-03-11,Impact Arena,,Bangkok, Thailand,
51,ONE: Throne of Tigers,2017-02-10,Stadium Negara,,Kuala Lumpur, Malaysia,
50,ONE: Quest for Power,2017-01-14,Jakarta Convention Center,,Jakarta, Indonesia,
49,ONE: Age of Domination,2016-12-02,SM Mall of Asia Arena,,Pasay, Philippines,
48,ONE: Defending Honor,2016-11-11,Singapore Indoor Stadium,,Kallang, Singapore,
47,ONE: State of Warriors,2016-10-07,Thuwunna Indoor Stadium,,Yangon, Myanmar,
46,ONE: Unbreakable Warriors,2016-09-02,Stadium Negara,,Kuala Lumpur, Malaysia,
45,ONE: Titles and Titans,2016-08-27,Jakarta Convention Center,,Jakarta, Indonesia,
44,ONE: Heroes of the World,2016-08-13,"Cotai Arena, The Venetian Macao",Macau, SAR, China,
43,ONE: Dynasty of Champions (Anhui),2016-07-02,Hefei Olympic Sports Center Stadium,,Anhui, China,
42,ONE: Kingdom of Champions,2016-05-27,Impact Arena,,Bangkok, Thailand,
41,ONE: Ascent to Power,2016-05-06,Singapore Indoor Stadium,,Kallang, Singapore,
40,ONE: Global Rivals,2016-04-15,SM Mall of Asia Arena,,Pasay, Philippines,
39,ONE: Union of Warriors,2016-03-18,Thuwunna National Indoor Stadium,,Yangon, Myanmar,
38,ONE: Tribe of Warriors,2016-02-20,Istora Senayan,,Jakarta, Indonesia,9683.0
37,ONE: Clash of Heroes,2016-01-29,Stadium Negara,,Kuala Lumpur, Malaysia,8492.0
36,ONE: Dynasty of Champions (Changsha),2016-01-23,Changsha SWC Stadium,,Changsha, China,3856.0
35,ONE: Spirit of Champions,2015-12-11,SM Mall of Asia Arena,,Pasay, Philippines,18892.0
34,ONE: Kingdom of Khmer,2015-12-05,Koh Pich Theatre,,Phnom Penh, Cambodia,3789.0
33,ONE: Dynasty of Champions (Beijing II),2015-11-21,Olympic Sports Center Gymnasium,,Beijing, China,6491.0
32,ONE: Pride of Lions,2015-11-13,Singapore Indoor Stadium,,Kallang, Singapore,11611.0
31,ONE: Tigers of Asia,2015-10-09,Putra Indoor Stadium,,Kuala Lumpur, Malaysia,11378.0
30,ONE: Odyssey of Champions,2015-09-27,Istora Senayan,,Jakarta, Indonesia,8485.0
–,ONE: Dynasty of Champions (Shanghai),2015-09-17,Mercedes-Benz Arena,,Shanghai, China,
29,ONE: Kingdom of Warriors,2015-07-18,Thuwunna Indoor Stadium,,Yangon, Myanmar,4684.0
28,ONE: Dynasty of Champions (Guangzhou),2015-06-20,Guangzhou Tianhe Gymnasium,,Guangzhou, China,8301.0
27,ONE: Warrior's Quest,2015-05-22,Singapore Indoor Stadium,,Kallang, Singapore,11485.0
26,ONE: Valor of Champions,2015-04-24,SM Mall of Asia Arena,,Pasay, Philippines,17589.0
25,ONE: Age of Champions,2015-03-13,Putra Indoor Stadium,,Kuala Lumpur, Malaysia,10367.0
