weight_class,winner,loser,method,round,time,notes,fight_card,event_name,link,weight
Heavyweight 120 kg,Benjamin Adegbuyi,D'Angelo Marshall,KO (Punch),1,0:36,Heavyweight Contender Tournament Semi-finals,Main card,Glory 50: Chicago,https://en.wikipedia.org//wiki/2018_in_Glory,
Heavyweight 120 kg,Guto Inocente,Junior Tafa,Decision (Unanimous),3,3:00,Heavyweight Contender Tournament Semi-finals,Main card,Glory 50: Chicago,https://en.wikipedia.org//wiki/2018_in_Glory,
Lightweight 70 kg,Sitthichai Sitsongpeenong (c),Christian Baya,Decision (Unanimous),5,3:00,For the Glory Lightweight Championship,Superfight Series,Glory 50: Chicago,https://en.wikipedia.org//wiki/2018_in_Glory,
Welterweight 77 kg,Omar Moreno,Casey Greene,Decision (Extra Round - Unanimous),4,3:00,,Superfight Series,Glory 50: Chicago,https://en.wikipedia.org//wiki/2018_in_Glory,
Welterweight 77 kg,Omari Boyd,Daniel Morales,Decision (Split),3,5:00,,Superfight Series,Glory 50: Chicago,https://en.wikipedia.org//wiki/2018_in_Glory,
Catchweight 68 kg,Diego Llamas,Justin Houghton,TKO (Referee Stoppage),1,1:40,,Superfight Series,Glory 50: Chicago,https://en.wikipedia.org//wiki/2018_in_Glory,
Heavyweight 120 kg,Badr Hari,Hesdy Gerges,No Contest,3,3:00,Originally a decision win for Hari. Later changed to a No Contest after both fighters tested positive for performance-enhancing drugs.[2],Main card,Glory 51: Rotterdam,https://en.wikipedia.org//wiki/2018_in_Glory,
Welterweight 77 kg,Eyevan Danenberg,Thongchai Sitsongpeenong,Decision (Unanimous),3,3:00,Welterweight Contender Tournament Final,Main card,Glory 51: Rotterdam,https://en.wikipedia.org//wiki/2018_in_Glory,
Heavyweight 120 kg,Tomáš Možný,Daniel Škvor,Decision (Unanimous),3,3:00,,Main card,Glory 51: Rotterdam,https://en.wikipedia.org//wiki/2018_in_Glory,
Welterweight 77 kg,Eyevan Danenberg,Jimmy Vienot,Decision (Split),3,3:00,Welterweight Contender Tournament Semi-finals,Main card,Glory 51: Rotterdam,https://en.wikipedia.org//wiki/2018_in_Glory,
Welterweight 77 kg,Thongchai Sitsongpeenong,Alan Scheinson,Decision (Split),3,3:00,Welterweight Contender Tournament Semi-finals,Main card,Glory 51: Rotterdam,https://en.wikipedia.org//wiki/2018_in_Glory,
Welterweight 77 kg,Alim Nabiev,Cedric Doumbe,Decision (Split),3,3:00,,Superfight Series,Glory 51: Rotterdam,https://en.wikipedia.org//wiki/2018_in_Glory,
Welterweight 77 kg,Mohammed Jaraya,Miles Simson,Decision (Unanimous),3,3:00,Welterweight Contender Tournament Reserve,Superfight Series,Glory 51: Rotterdam,https://en.wikipedia.org//wiki/2018_in_Glory,
Lightweight 70 kg,Tyjani Beztati,Anil Cabri,KO (Head Kick),1,2:17,,Superfight Series,Glory 51: Rotterdam,https://en.wikipedia.org//wiki/2018_in_Glory,
Featherweight 65 kg,Massaro Glunder,Victor Pinto,Decision (Unanimous),3,3:00,,Superfight Series,Glory 51: Rotterdam,https://en.wikipedia.org//wiki/2018_in_Glory,
Middleweight 85 kg,Kevin van Heeckeren,Bas van der Kroon,KO (Punches),1,2:48,,Superfight Series,Glory 51: Rotterdam,https://en.wikipedia.org//wiki/2018_in_Glory,
Featherweight 65 kg,Robin van Roosmalen (c),Kevin VanNostrand (ic),Decision (Unanimous),5,3:00,For the unification of Glory Featherweight Championship,Main card,Glory 52: Los Angeles,https://en.wikipedia.org//wiki/2018_in_Glory,
Middleweight 85 kg,Simon Marcus,Zack Wells,TKO (Punches),1,1:03,,Main card,Glory 52: Los Angeles,https://en.wikipedia.org//wiki/2018_in_Glory,
Middleweight 85 kg,Mike Lemaire,Chris Camozzi,Decision (Unanimous),3,3:00,,Main card,Glory 52: Los Angeles,https://en.wikipedia.org//wiki/2018_in_Glory,
Lightweight 70 kg,Josh Jauncey,Stoyan Koprivlenski,Decision (Split),3,3:00,,Main card,Glory 52: Los Angeles,https://en.wikipedia.org//wiki/2018_in_Glory,
Light Heavyweight 95 kg,Pavel Zhuravlev (ic),Myron Dennis,Decision (Unanimous),3,3:00,For the Interim Glory Light Heavyweight Championship,Superfight Series,Glory 52: Los Angeles,https://en.wikipedia.org//wiki/2018_in_Glory,
Women's Catchweight 53 kg,Anissa Meksen,Ashley Nichols,Decision (Unanimous),3,3:00,,Superfight Series,Glory 52: Los Angeles,https://en.wikipedia.org//wiki/2018_in_Glory,
Middleweight 85 kg,Troy Jones,Paul Banasiak,Decision (Unanimous),3,3:00,,Superfight Series,Glory 52: Los Angeles,https://en.wikipedia.org//wiki/2018_in_Glory,
Featherweight 65 kg,Zakaria Zouggary,Bailey Sugden,Decision (Unanimous),3,3:00,,Superfight Series,Glory 52: Los Angeles,https://en.wikipedia.org//wiki/2018_in_Glory,
Lightweight 70 kg,Sitthichai Sitsongpeenong (c),Tyjani Beztati,Decision (Unanimous),5,3:00,For the Glory Lightweight Championship,Main card,Glory 53: Lille,https://en.wikipedia.org//wiki/2018_in_Glory,
Heavyweight 120 kg,Jahfarr Wilnis,Jamal Ben Saddik,Decision (Unanimous),3,3:00,,Main card,Glory 53: Lille,https://en.wikipedia.org//wiki/2018_in_Glory,
Super Bantamweight 55 kg,Anissa Meksen (c),Amel Dehby,Decision (Unanimous),5,3:00,For the Glory Women's Super Bantamweight Championship,Main card,Glory 53: Lille,https://en.wikipedia.org//wiki/2018_in_Glory,
Light Heavyweight 93 kg,Zinedine Hameur-Lain,Michael Duut,TKO (3 Knockdowns Rule),2,1:14,,Main card,Glory 53: Lille,https://en.wikipedia.org//wiki/2018_in_Glory,
Featherweight 66 kg,Petchpanomrung Kiatmookao,Abdellah Ezbiri,KO (Head Kick),2,1:40,,Main card,Glory 53: Lille,https://en.wikipedia.org//wiki/2018_in_Glory,
Welterweight 77 kg,Cedric Doumbe,Thongchai Sitsongpeenong,KO (Punch),1,0:33,,Superfight Series,Glory 53: Lille,https://en.wikipedia.org//wiki/2018_in_Glory,
Middleweight 85 kg,Yousri Belgaroui,Dawid Kasperski,TKO (3 Knockdowns Rule),2,1:16,,Superfight Series,Glory 53: Lille,https://en.wikipedia.org//wiki/2018_in_Glory,
Featherweight 66 kg,Serhiy Adamchuk,Victor Pinto,Decision (Unanimous),3,3:00,Featherweight Contender Tournament Final,Superfight Series,Glory 53: Lille,https://en.wikipedia.org//wiki/2018_in_Glory,
Lightweight 70 kg,Alan Scheinson,Anghel Cardoș,Decision (Unanimous),3,3:00,,Superfight Series,Glory 53: Lille,https://en.wikipedia.org//wiki/2018_in_Glory,
Featherweight 66 kg,Serhiy Adamchuk,Azize Hlali,Decision (Unanimous),3,3:00,Featherweight Contender Tournament Semi-finals,Superfight Series,Glory 53: Lille,https://en.wikipedia.org//wiki/2018_in_Glory,
Featherweight 66 kg,Victor Pinto,Buray Bozaryilmaz,Decision (Majority),3,3:00,Featherweight Contender Tournament Semi-finals,Superfight Series,Glory 53: Lille,https://en.wikipedia.org//wiki/2018_in_Glory,
Heavyweight 120 kg,Rico Verhoeven (c),Mladen Brestovac,Decision (Unanimous),5,3:00,For the Glory Heavyweight Championship,Main card,Glory 54: Birmingham,https://en.wikipedia.org//wiki/2018_in_Glory,
Welterweight 77 kg,Harut Grigorian (c),Alim Nabiev,Decision (Unanimous),5,3:00,For the Glory Welterweight Championship,Main card,Glory 54: Birmingham,https://en.wikipedia.org//wiki/2018_in_Glory,
Featherweight 65 kg,Bailey Sugden,Aleksei Ulianov,No Contest (Accidental Headbutt),2,1:10,,Main card,Glory 54: Birmingham,https://en.wikipedia.org//wiki/2018_in_Glory,
Featherweight 65 kg,Zhang Chenglong,Adrian Maxim,Decision (Unanimous),3,3:00,,Main card,Glory 54: Birmingham,https://en.wikipedia.org//wiki/2018_in_Glory,
Light Heavyweight 95 kg,Danyo Ilunga,Fraser Weightman,Decision (Unanimous),3,3:00,,Superfight Series,Glory 54: Birmingham,https://en.wikipedia.org//wiki/2018_in_Glory,
Lightweight 70 kg,Josh Jauncey,Christian Baya,Decision (Split),3,3:00,,Superfight Series,Glory 54: Birmingham,https://en.wikipedia.org//wiki/2018_in_Glory,
Welterweight 77 kg,Adam Hatfield,Richard Abraham,Decision (Split),3,3:00,,Superfight Series,Glory 54: Birmingham,https://en.wikipedia.org//wiki/2018_in_Glory,
Lightweight 70 kg,Marat Grigorian,Liu Xu,Decision (Unanimous),3,3:00,,Superfight Series,Glory 54: Birmingham,https://en.wikipedia.org//wiki/2018_in_Glory,
Lightweight 70 kg,Elvis Gashi,William Goldie-Galloway,Decision (Unanimous),3,3:00,,Superfight Series,Glory 54: Birmingham,https://en.wikipedia.org//wiki/2018_in_Glory,
Welterweight 77 kg,Mark Timms,Dawid Blaszke,Decision (Unanimous),3,3:00,Welterweight Qualification Tournament Semi-finals,Superfight Series,Glory 54: Birmingham,https://en.wikipedia.org//wiki/2018_in_Glory,
Welterweight 77 kg,Jamie Bates,Tommy King,Decision (Unanimous),3,3:00,Welterweight Qualification Tournament Semi-finals,Superfight Series,Glory 54: Birmingham,https://en.wikipedia.org//wiki/2018_in_Glory,
Middleweight 85 kg,Alex Pereira (c),Yousri Belgaroui,KO (Punch),1,2:28,For the Glory Middleweight Championship,Main card,Glory 55: New York,https://en.wikipedia.org//wiki/2018_in_Glory,
Featherweight 65 kg,Petchpanomrung Kiatmookao,Kevin VanNostrand,Decision (Split),5,3:00,For the interim Glory Featherweight Championship,Main card,Glory 55: New York,https://en.wikipedia.org//wiki/2018_in_Glory,
Heavyweight 120 kg,Junior Tafa,Anthony McDonald,TKO (3 Knockdown Rule),1,2:20,,Main card,Glory 55: New York,https://en.wikipedia.org//wiki/2018_in_Glory,
Featherweight 65 kg,Victor Pinto,Nate Richardson,Decision (Split),3,3:00,,Main card,Glory 55: New York,https://en.wikipedia.org//wiki/2018_in_Glory,
Lightweight 70 kg,Elvis Gashi,Nick Chasteen,Decision (Unanimous),3,3:00,,Main card,Glory 55: New York,https://en.wikipedia.org//wiki/2018_in_Glory,
Welterweight 77 kg,Cedric Doumbe,Alan Scheinson,TKO (Punches),2,1:38,,Superfight Series,Glory 55: New York,https://en.wikipedia.org//wiki/2018_in_Glory,
Super Bantamweight 55 kg,Tiffany van Soest,Sofia Olofsson,Decision (Split),3,3:00,,Superfight Series,Glory 55: New York,https://en.wikipedia.org//wiki/2018_in_Glory,
Lightweight 70 kg,Itay Gershon,Trevor Ragin,TKO (Punch),2,0:36,,Superfight Series,Glory 55: New York,https://en.wikipedia.org//wiki/2018_in_Glory,
Featherweight 65 kg,Asa Ten Pow,Justin Greskiewicz,TKO (3 Knockdown Rule),1,2:59,,Superfight Series,Glory 55: New York,https://en.wikipedia.org//wiki/2018_in_Glory,
Middleweight 85 kg,Jacob Rodriguez,Joe Taylor,Decision (Unanimous),3,3:00,,Superfight Series,Glory 55: New York,https://en.wikipedia.org//wiki/2018_in_Glory,
Light Heavyweight 95 kg,Artem Vakhitov (c),Danyo Ilunga,Decision (Unanimous),5,3:00,For the Glory Light Heavyweight Championship,Main card,Glory 56: Denver,https://en.wikipedia.org//wiki/2018_in_Glory,
Super Bantamweight 55 kg,Jady Menezes,Anissa Meksen (c),Decision (Split),5,3:00,For the Glory Women's Super Bantamweight Championship,Main card,Glory 56: Denver,https://en.wikipedia.org//wiki/2018_in_Glory,
Featherweight 65 kg,Serhiy Adamchuk,Anvar Boynazarov,Decision (Unanimous),3,3:00,,Main card,Glory 56: Denver,https://en.wikipedia.org//wiki/2018_in_Glory,
Featherweight 65 kg,Massaro Glunder,Quade Taranaki,Decision (Unanimous),3,3:00,,Main card,Glory 56: Denver,https://en.wikipedia.org//wiki/2018_in_Glory,
Middleweight 85 kg,Simon Marcus,Jason Wilnis,Decision (Split),3,3:00,,Superfight Series,Glory 56: Denver,https://en.wikipedia.org//wiki/2018_in_Glory,
Heavyweight 120 kg,D'Angelo Marshall,Antonio Dvorak,TKO (Punch),1,2:14,,Superfight Series,Glory 56: Denver,https://en.wikipedia.org//wiki/2018_in_Glory,
Lightweight 70 kg,Justin Houghton,Troy Sheridan,Decision (Unanimous),3,3:00,,Superfight Series,Glory 56: Denver,https://en.wikipedia.org//wiki/2018_in_Glory,
Heavyweight 120 kg,Myron Dennis,Steve Paprocki,TKO (3 Knockdowns),1,1:49,,Superfight Series,Glory 56: Denver,https://en.wikipedia.org//wiki/2018_in_Glory,
Light Heavyweight 95 kg,Chris Camozzi,John King,TKO (Punches),2,2:48,,Superfight Series,Glory 56: Denver,https://en.wikipedia.org//wiki/2018_in_Glory,
Middleweight 85 kg,Ryot Waller,Zack Wells,KO (Punches),3,0:57,,Superfight Series,Glory 56: Denver,https://en.wikipedia.org//wiki/2018_in_Glory,
Lightweight 70 kg,Sitthichai Sitsongpeenong (c),Marat Grigorian,Decision (Split),5,3:00,For the Glory Lightweight Championship,Main card,Glory 57: Shenzhen,https://en.wikipedia.org//wiki/2018_in_Glory,
Welterweight 77 kg,Cedric de Keirsmaeker,Kaiyin Zang,Decision (Split),3,3:00,,Main card,Glory 57: Shenzhen,https://en.wikipedia.org//wiki/2018_in_Glory,
Lightweight 70 kg,Khayal Dzhaniev,Julio Lobo,Decision (Unanimous),3,3:00,,Main card,Glory 57: Shenzhen,https://en.wikipedia.org//wiki/2018_in_Glory,
Featherweight 65 kg,Chenglong Zhang,Nafi Bilalovski,No Contest (Accidental Foul),1,2:43,,Main card,Glory 57: Shenzhen,https://en.wikipedia.org//wiki/2018_in_Glory,
Featherweight 65 kg,Asa Ten Pow,Yuhang Xie,Decision (Split),3,3:00,,Main card,Glory 57: Shenzhen,https://en.wikipedia.org//wiki/2018_in_Glory,
Lightweight 70 kg,Liu Xu,Wensheng Zhang,Decision (Split),3,3:00,Lightweight Qualification Tournament Final,Superfight Series,Glory 57: Shenzhen,https://en.wikipedia.org//wiki/2018_in_Glory,
Featherweight 65 kg,Chenchen Li,Masaya Kubo,Decision (Unanimous),3,3:00,,Superfight Series,Glory 57: Shenzhen,https://en.wikipedia.org//wiki/2018_in_Glory,
Super Bantamweight 55 kg,Jia Liu,Zaza Sor. Aree,Decision (Unanimous),3,3:00,,Superfight Series,Glory 57: Shenzhen,https://en.wikipedia.org//wiki/2018_in_Glory,
Lightweight 70 kg,Wensheng Zhang,Li Deng,Decision (Split),3,3:00,Lightweight Qualification Tournament Semi-finals,Superfight Series,Glory 57: Shenzhen,https://en.wikipedia.org//wiki/2018_in_Glory,
Lightweight 70 kg,Liu Xu,Chao Wang,Decision (Unanimous),3,3:00,Lightweight Qualification Tournament Semi-finals,Superfight Series,Glory 57: Shenzhen,https://en.wikipedia.org//wiki/2018_in_Glory,
Lightweight 70 kg,Wensheng Zhang,Lei Feng,Decision (Split),3,3:00,Lightweight Qualification Tournament Quarter-finals,Prelims,Glory 57: Shenzhen,https://en.wikipedia.org//wiki/2018_in_Glory,
Lightweight 70 kg,Li Deng,Alimu,TKO (3 Knockdowns),1,2:51,Lightweight Qualification Tournament Quarter-finals,Prelims,Glory 57: Shenzhen,https://en.wikipedia.org//wiki/2018_in_Glory,
Lightweight 70 kg,Chao Wang,Tiehan Xu,Decision (Split),3,3:00,Lightweight Qualification Tournament Quarter-finals,Prelims,Glory 57: Shenzhen,https://en.wikipedia.org//wiki/2018_in_Glory,
Lightweight 70 kg,Liu Xu,Junchen Zhao,Decision (Split),3,3:00,Lightweight Qualification Tournament Quarter-finals,Prelims,Glory 57: Shenzhen,https://en.wikipedia.org//wiki/2018_in_Glory,
Middleweight 85 kg,Alex Pereira (c),Simon Marcus,Decision (Unanimous),5,3:00,For the Glory Middleweight Championship,Main card,Glory 58: Chicago,https://en.wikipedia.org//wiki/2018_in_Glory,
Heavyweight 120 kg,Benjamin Adegbuyi,Jahfarr Wilnis,Decision (Unanimous),3,3:00,,Main card,Glory 58: Chicago,https://en.wikipedia.org//wiki/2018_in_Glory,
Welterweight 77 kg,Omari Boyd,Richard Abraham,Decision (Split),3,3:00,,Main card,Glory 58: Chicago,https://en.wikipedia.org//wiki/2018_in_Glory,
Featherweight 65 kg,Anvar Boynazarov,Bailey Sugden,Decision (Split),3,3:00,,Main card,Glory 58: Chicago,https://en.wikipedia.org//wiki/2018_in_Glory,
Heavyweight 120 kg,Junior Tafa,Haze Wilson,TKO (Punch),1,1:35,,Superfight Series,Glory 58: Chicago,https://en.wikipedia.org//wiki/2018_in_Glory,
Middleweight 85 kg,Matt Baker,Thomas Jenkins,KO (Punches),3,1:55,,Superfight Series,Glory 58: Chicago,https://en.wikipedia.org//wiki/2018_in_Glory,
Welterweight 77 kg,Troy Jones,Casey Greene,KO (Head Kick),1,1:00,Welterweight Qualification Tournament Semi-finals,Superfight Series,Glory 58: Chicago,https://en.wikipedia.org//wiki/2018_in_Glory,
Welterweight 77 kg,Mike Lemaire,Omar Moreno,Decision (Unanimous),3,3:00,Welterweight Qualification Tournament Semi-finals,Superfight Series,Glory 58: Chicago,https://en.wikipedia.org//wiki/2018_in_Glory,
Heavyweight 120 kg,Rico Verhoeven (c),Guto Inocente,Decision (Unanimous),5,3:00,For the Glory Heavyweight Championship,Main card,Glory 59: Amsterdam,https://en.wikipedia.org//wiki/2018_in_Glory,
Featherweight 65 kg,Petchpanomrung Kiatmookao (ic),Robin van Roosmalen (c),Decision (Unanimous),5,3:00,For the unification of Glory Featherweight Championship,Main card,Glory 59: Amsterdam,https://en.wikipedia.org//wiki/2018_in_Glory,
Heavyweight 120 kg,Jamal Ben Saddik,D'Angelo Marshall,TKO (3 Knockdowns Rule),1,0:57,,Main card,Glory 59: Amsterdam,https://en.wikipedia.org//wiki/2018_in_Glory,
Welterweight 77 kg,Tyjani Beztati,Christian Baya,Decision (Unanimous),3,3:00,,Main card,Glory 59: Amsterdam,https://en.wikipedia.org//wiki/2018_in_Glory,
Welterweight 77 kg,Murthel Groenhart,Mohammed Jaraya,TKO (Punches),2,1:05,,Superfight Series,Glory 59: Amsterdam,https://en.wikipedia.org//wiki/2018_in_Glory,
Welterweight 77 kg,Alim Nabiev,Eyevan Danenberg,Decision (Split),3,3:00,,Superfight Series,Glory 59: Amsterdam,https://en.wikipedia.org//wiki/2018_in_Glory,
Light Heavyweight 95 kg,Michael Duut,Mourad Bouzidi,KO (Punch),3,2:56,,Superfight Series,Glory 59: Amsterdam,https://en.wikipedia.org//wiki/2018_in_Glory,
Heavyweight 120 kg,Roel Mannaart,Daniel Škvor,Decision (Unanimous),3,3:00,,Superfight Series,Glory 59: Amsterdam,https://en.wikipedia.org//wiki/2018_in_Glory,
Featherweight 65 kg,Aleksei Ulianov,Zakaria Zouggary,Decision (Unanimous),3,3:00,,Superfight Series,Glory 59: Amsterdam,https://en.wikipedia.org//wiki/2018_in_Glory,
Welterweight 77 kg,Cédric Doumbé,Jimmy Vienot,Decision (Unanimous),3,3:00,,Main card,Glory 60: Lyon,https://en.wikipedia.org//wiki/2018_in_Glory,
Light Heavyweight 95 kg,Donegi Abena,Stéphane Susperregui,Decision (Unanimous),3,3:00,,Main card,Glory 60: Lyon,https://en.wikipedia.org//wiki/2018_in_Glory,
Middleweight 85 kg,Yousri Belgaroui,Yassine Ahaggan,KO (Knee to the Body),1,1:22,,Main card,Glory 60: Lyon,https://en.wikipedia.org//wiki/2018_in_Glory,
Super Bantamweight 55 kg,Sofia Olofsson,Cindy Silvestre,Decision (Unanimous),3,3:00,,Main card,Glory 60: Lyon,https://en.wikipedia.org//wiki/2018_in_Glory,
Featherweight 65 kg,Abdellah Ezbiri,Victor Pinto,KO (Spinning Back Kick),1,1:03,,Main card,Glory 60: Lyon,https://en.wikipedia.org//wiki/2018_in_Glory,
Light Heavyweight 95 kg,Felipe Micheletti,Zinedine Hameur-Lain,TKO (Retirement),1,3:00,,Superfight Series,Glory 60: Lyon,https://en.wikipedia.org//wiki/2018_in_Glory,
Heavyweight 120 kg,Bruno Chaves,Mamadou Lamine Sene,TKO (Doctor Stoppage),2,3:00,,Superfight Series,Glory 60: Lyon,https://en.wikipedia.org//wiki/2018_in_Glory,
Middleweight 85 kg,Matěj Peňáz,Mehdi Bouanane,TKO (Doctor Stoppage),2,3:00,,Superfight Series,Glory 60: Lyon,https://en.wikipedia.org//wiki/2018_in_Glory,
Welterweight 77 kg,Dmitry Menshikov,Samuel Dbili,TKO (3 Knockdowns Rule),1,2:59,,Superfight Series,Glory 60: Lyon,https://en.wikipedia.org//wiki/2018_in_Glory,
Lightweight 70 kg,Michael Palandre,Mohamed Soumah,TKO (Arm Injury),2,0:50,,Superfight Series,Glory 60: Lyon,https://en.wikipedia.org//wiki/2018_in_Glory,
Lightweight 70 kg,Sitthichai Sitsongpeenong (c),Josh Jauncey,Decision (Unanimous),5,3:00,For the Glory Lightweight Championship,Main card,Glory 61: New York,https://en.wikipedia.org//wiki/2018_in_Glory,
Super Bantamweight 55 kg,Anissa Meksen,Jady Menezes (c),TKO (Punches),2,0:39,For the Glory Super Bantamweight Championship,Main card,Glory 61: New York,https://en.wikipedia.org//wiki/2018_in_Glory,
Light Heavyweight 95 kg,Chris Camozzi,Myron Dennis,Decision (Unanimous),3,3:00,,Main card,Glory 61: New York,https://en.wikipedia.org//wiki/2018_in_Glory,
Welterweight 77 kg,Omari Boyd,Alan Scheinson,Decision (Unanimous),3,3:00,,Main card,Glory 61: New York,https://en.wikipedia.org//wiki/2018_in_Glory,
Featherweight 65 kg,Kevin VanNostrand,Massaro Glunder,Decision (Unanimous),3,3:00,,Superfight Series,Glory 61: New York,https://en.wikipedia.org//wiki/2018_in_Glory,
Featherweight 65 kg,Asa Ten Pow,Niko Tsigaras,Decision (Unanimous),3,3:00,,Superfight Series,Glory 61: New York,https://en.wikipedia.org//wiki/2018_in_Glory,
Welterweight 77 kg,Charles Rodriguez,Malik Watson-Smith,TD (Unanimous),2,3:00,,Superfight Series,Glory 61: New York,https://en.wikipedia.org//wiki/2018_in_Glory,
Lightweight 70 kg,Justin Houghton,Vince McGuinness,Decision (Unanimous),3,3:00,,Superfight Series,Glory 61: New York,https://en.wikipedia.org//wiki/2018_in_Glory,
Super Bantamweight 55 kg,Chommanee Sor Taehiran,Ashley Nichols,Decision (Split),3,3:00,,Superfight Series,Glory 61: New York,https://en.wikipedia.org//wiki/2018_in_Glory,
Heavyweight 120 kg,Jamal Ben Saddik,Benjamin Adegbuyi,KO (Punches),1,1:54,Heavyweight Tournament Final,Main card,Glory 62: Rotterdam,https://en.wikipedia.org//wiki/2018_in_Glory,
Light Heavyweight 95 kg,Luis Tavares,Artur Gorlov,Decision (Split),3,3:00,,Main card,Glory 62: Rotterdam,https://en.wikipedia.org//wiki/2018_in_Glory,
Heavyweight 120 kg,Jamal Ben Saddik,Guto Inocente,Decision (Unanimous),3,3:00,Heavyweight Tournament Semi-finals,Main card,Glory 62: Rotterdam,https://en.wikipedia.org//wiki/2018_in_Glory,
Heavyweight 120 kg,Benjamin Adegbuyi,Jahfarr Wilnis,KO (Head Kick),3,2:39,Heavyweight Tournament Semi-finals,Main card,Glory 62: Rotterdam,https://en.wikipedia.org//wiki/2018_in_Glory,
Heavyweight 120 kg,Guto Inocente,Mohamed Abdallah,Decision (Split),3,3:00,Heavyweight Tournament Quarter-finals,Main card,Glory 62: Rotterdam,https://en.wikipedia.org//wiki/2018_in_Glory,
Heavyweight 120 kg,Jahfarr Wilnis,Tomáš Možný,Decision (Split),3,3:00,Heavyweight Tournament Quarter-finals,Main card,Glory 62: Rotterdam,https://en.wikipedia.org//wiki/2018_in_Glory,
Heavyweight 120 kg,Jamal Ben Saddik,Junior Tafa,TKO (2 Knockdowns Rule),1,2:55,Heavyweight Tournament Quarter-finals,Main card,Glory 62: Rotterdam,https://en.wikipedia.org//wiki/2018_in_Glory,
Heavyweight 120 kg,Benjamin Adegbuyi,Arkadiusz Wrzosek,Decision (Unanimous),3,3:00,Heavyweight Tournament Quarter-finals,Main card,Glory 62: Rotterdam,https://en.wikipedia.org//wiki/2018_in_Glory,
Lightweight 70 kg,Marat Grigorian,Christian Baya,Decision (Split),3,3:00,,Superfight Series,Glory 62: Rotterdam,https://en.wikipedia.org//wiki/2018_in_Glory,
Lightweight 70 kg,Tyjani Beztati,Stoyan Koprivlenski,Decision (Unanimous),3,3:00,,Superfight Series,Glory 62: Rotterdam,https://en.wikipedia.org//wiki/2018_in_Glory,
Welterweight 77 kg,Dmitry Menshikov,Robbie Hageman,TKO (Punches),1,1:53,,Superfight Series,Glory 62: Rotterdam,https://en.wikipedia.org//wiki/2018_in_Glory,
Welterweight 77 kg,Hamicha,Miles Simson,KO (Head Kick),1,1:53,,Superfight Series,Glory 62: Rotterdam,https://en.wikipedia.org//wiki/2018_in_Glory,
Heavyweight 120 kg,Roel Mannaart,Kirill Kornilov,Decision (Unanimous),3,3:00,Heavyweight Tournament Reserve,Superfight Series,Glory 62: Rotterdam,https://en.wikipedia.org//wiki/2018_in_Glory,
Middleweight 85 kg,Ertugrul Bayrak,Donovan Wisse,Decision (Split),3,3:00,,Prelims,Glory 62: Rotterdam,https://en.wikipedia.org//wiki/2018_in_Glory,
Middleweight,Joe Schilling,Artem Levin,Unanimous decision,4(ext.R),3:00,Middleweight Championship Tournament Final,Main card,Glory 5: London,https://en.wikipedia.org//wiki/2013_in_Glory,
Lightweight,Robin van Roosmalen,Shemsi Beqiri,Unanimous decision,3,3:00,,Main card,Glory 5: London,https://en.wikipedia.org//wiki/2013_in_Glory,
Lightweight,Davit Kiria,Murthel Groenhart,Unanimous decision,3,3:00,,Main card,Glory 5: London,https://en.wikipedia.org//wiki/2013_in_Glory,
Middleweight,Wayne Barrett,Robby Plotkin,TKO,3,2:26,Middleweight Championship Tournament Reserve Bout,Main card,Glory 5: London,https://en.wikipedia.org//wiki/2013_in_Glory,
Middleweight,Joe Schilling,Kengo Shimizu,Unanimous decision,3,3:00,Middleweight Championship Tournament Semi-final,Main card,Glory 5: London,https://en.wikipedia.org//wiki/2013_in_Glory,
Middleweight,Artem Levin,Jason Wilnis,Unanimous decision,3,3:00,Middleweight Championship Tournament Semi-final,Main card,Glory 5: London,https://en.wikipedia.org//wiki/2013_in_Glory,
Welterweight,Karapet Karapetyan,Alexander Stetsurenko,Unanimous decision,3,3:00,,Superfight Series,Glory 5: London,https://en.wikipedia.org//wiki/2013_in_Glory,
Heavyweight,Jahfarr Wilnis,Brice Guidon,TKO,2,0:38,,Superfight Series,Glory 5: London,https://en.wikipedia.org//wiki/2013_in_Glory,
Lightweight,Andy Ristie,Niclas Larsen,Unanimous decision,3,3:00,,Superfight Series,Glory 5: London,https://en.wikipedia.org//wiki/2013_in_Glory,
Light Heavyweight,Brian Collette,Randy Blake,Unanimous decision,3,3:00,,Superfight Series,Glory 5: London,https://en.wikipedia.org//wiki/2013_in_Glory,
Lightweight,Ky Hollenbeck,Albert Kraus,Unanimous decision,3,3:00,,Superfight Series,Glory 5: London,https://en.wikipedia.org//wiki/2013_in_Glory,
Lightweight,Hinata,Johann Fauveau,TKO,3,0:48,,Superfight Series,Glory 5: London,https://en.wikipedia.org//wiki/2013_in_Glory,
Middleweight,Joe Schilling,Artem Levin,Unanimous decision,4(ext.R),3:00,Middleweight Championship Tournament Final,Main card,Glory 6: Istanbul,https://en.wikipedia.org//wiki/2013_in_Glory,
Lightweight,Robin van Roosmalen,Shemsi Beqiri,Unanimous decision,3,3:00,,Main card,Glory 6: Istanbul,https://en.wikipedia.org//wiki/2013_in_Glory,
Lightweight,Davit Kiria,Murthel Groenhart,Unanimous decision,3,3:00,,Main card,Glory 6: Istanbul,https://en.wikipedia.org//wiki/2013_in_Glory,
Middleweight,Wayne Barrett,Robby Plotkin,TKO,3,2:26,Middleweight Championship Tournament Reserve Bout,Main card,Glory 6: Istanbul,https://en.wikipedia.org//wiki/2013_in_Glory,
